resource_type,generator_id,source_identifier,bus_id,region,capacity,timeseries_file,timeseries_column,mapping_status,evidence_source,notes
rtpv,313_RTPV_10,313_RTPV_10,313,3,66.9,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_10,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_11,313_RTPV_11,313,3,65.2,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_11,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_12,313_RTPV_12,313,3,27.8,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_12,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_1,320_RTPV_1,320,3,27.3,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_2,320_RTPV_2,320,3,27,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_3,320_RTPV_3,320,3,28.3,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,313_RTPV_13,313_RTPV_13,313,3,27.2,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,313_RTPV_13,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_4,320_RTPV_4,320,3,27,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_5,320_RTPV_5,320,3,28.2,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_1,118_RTPV_1,118,1,9.3,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_2,118_RTPV_2,118,1,9.7,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_3,118_RTPV_3,118,1,9.4,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_3,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_4,118_RTPV_4,118,1,9.1,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_4,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_5,118_RTPV_5,118,1,9.1,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_5,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_6,118_RTPV_6,118,1,9.7,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,320_RTPV_6,320_RTPV_6,320,3,9.4,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,320_RTPV_6,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_7,118_RTPV_7,118,1,11.8,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_7,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_8,118_RTPV_8,118,1,11.2,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_8,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_9,118_RTPV_9,118,1,10.3,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_9,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,118_RTPV_10,118_RTPV_10,118,1,4.5,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,118_RTPV_10,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
rtpv,213_RTPV_1,213_RTPV_1,213,2,13.2,RTS_Data/timeseries_data_files/RTPV/REAL_TIME_rtpv.csv,213_RTPV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar RTPV; simulation=REAL_TIME
